sample_id,date,hour,city,weather,cloud_cover,humidity,temperature,precipitation,solar_altitude,outdoor_lux
200,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.5,11610.0
201,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.6,11610.0
202,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.6,11590.0
203,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.7,11500.0
204,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.8,11590.0
205,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.8,11730.0
206,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,40.9,11700.0
207,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.0,11610.0
208,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.0,11560.0
209,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.1,11330.0
210,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.1,10980.0
211,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.2,10630.0
212,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.2,10220.0
213,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.3,10100.0
214,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.3,9900.0
215,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.4,9750.0
216,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.5,9780.0
217,2016-03-16,11,巴黎,雨,1.0,0.77,4.2,0.7,41.5,9670.0
218,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.6,9690.0
219,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.6,9890.0
220,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.6,10040.0
221,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.7,10510.0
222,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.7,10920.0
223,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.8,11230.0
224,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.8,11360.0
225,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.9,11560.0
226,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,41.9,11730.0
227,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.0,11790.0
228,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.0,11740.0
229,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.0,11800.0
230,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.1,11890.0
231,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.1,12030.0
232,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.1,12080.0
233,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.2,12080.0
234,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.2,12090.0
235,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.3,12120.0
236,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.3,12150.0
237,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.3,12060.0
238,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.3,11970.0
239,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.4,12000.0
240,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.4,12090.0
241,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.4,12170.0
242,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.5,12280.0
243,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.5,12550.0
244,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.5,12760.0
245,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.5,12720.0
246,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.6,12380.0
247,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.6,12170.0
248,2016-03-16,12,巴黎,雨,1.0,0.77,4.2,0.7,42.6,11970.0
249,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.6,11500.0
250,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.6,11090.0
251,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.6,10970.0
252,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10890.0
253,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10950.0
254,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,11060.0
255,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,11160.0
256,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10950.0
257,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10510.0
258,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10160.0
259,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,9920.0
260,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9630.0
261,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9510.0
262,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9420.0
263,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9430.0
264,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9660.0
265,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9900.0
266,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10020.0
267,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9980.0
268,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,9930.0
269,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10240.0
270,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10750.0
271,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10950.0
272,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10880.0
273,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10830.0
274,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10630.0
275,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.8,10360.0
276,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10120.0
277,2016-03-16,12,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10040.0
278,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10150.0
279,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10300.0
280,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10420.0
281,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10510.0
282,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10570.0
283,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.7,10650.0
284,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.6,10830.0
285,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.6,10980.0
286,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.6,11030.0
287,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.6,11040.0
288,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.6,11060.0
289,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.5,11120.0
290,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.5,11240.0
291,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.5,11300.0
292,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.5,11290.0
293,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.4,11240.0
294,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.4,11210.0
295,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.4,11210.0
296,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.4,11210.0
297,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.3,11210.0
298,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.3,11120.0
299,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.3,10920.0
300,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.2,10620.0
301,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.2,10270.0
302,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.2,10010.0
303,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.1,9960.0
304,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.1,10150.0
305,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.0,10560.0
306,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.0,10980.0
307,2016-03-16,13,巴黎,雨,1.0,0.79,4.6,0.5,42.0,11150.0
308,2016-03-16,13,巴黎,雨,1.0,0.82,4.3,0.7,41.9,10850.0
309,2016-03-16,13,巴黎,雨,1.0,0.82,4.3,0.7,41.9,10210.0
310,2016-03-16,13,巴黎,雨,1.0,0.82,4.3,0.7,41.8,9570.0
311,2016-03-16,13,巴黎,雨,1.0,0.82,4.3,0.7,41.8,9050.0
312,2016-03-16,13,巴黎,雨,1.0,0.82,4.3,0.7,41.8,8750.0
313,2016-03-16,13,巴黎,雨,1.0,0.82,4.3,0.7,41.7,8640.0
